transaction_id,order_id,order_line_number,order_date,order_year,order_month,order_month_name,order_quarter,order_day_of_week,ship_date,delivery_date,customer_id,customer_full_name,customer_first_name,customer_last_name,customer_email,customer_phone,customer_city,customer_state,customer_zip,customer_region,customer_segment,customer_gender,customer_age,customer_age_group,product_id,product_name,sku,brand,category,sub_category,department,quantity_ordered,unit_list_price,discount_pct,unit_selling_price,line_total_before_tax,tax_rate_pct,tax_amount,line_total_with_tax,store_id,store_name,store_city,store_state,store_region,store_type,employee_id,employee_name,employee_job_title,promo_id,promo_name,sales_channel,payment_method,shipping_method,order_status,is_returned,cost_price,gross_profit,data_source,record_created_ts,last_modified_ts
TXN-10007207-19318,10007207,3,2024/01/08,2024,1,January,Q1,Monday,16-01-2024,22-01-2024,1301,Mr. Shirley Mitchell,Shirley,Mitchell,shirley.mitchell@yahoo.com,+18653952197,COLORADO SPRINGS,CO,29949,West,Silver,Non-Binary,42,36-50,2034,Camping Tent 4-Person,SKU-2034-5579,WildCamp,Sports,  Camping ,Fitness & Outdoors,3,189.99,15.0,161.49,$484.47,10.0,$48.45,$532.92,3047,Lakefront Pop-Up,Philadelphia,PA,Northeast,Standard,4015,Anthony Reed,Sales Associate,5012,Loyalty Reward,Store,Buy Now Pay Later,Pickup,CANCELLED,N,291.93,$192.54,pos,2024-01-08 00:00:00,
TXN-10005964-16016,10005964,1,07/29/2024,2024,7,July,Q3,Monday,06-08-2024,07/08/2024,1509,Mrs. Gregory Lopez,Gregory,Lopez,gregory_lopez@yahoo.com,+16297491380,San Antonio,Texas,23206,South,Gold,non-binary,61,51-65,2045,Hair Dryer Professional,SKU-2045-9252,StylePro,Beauty,Hair Care,Health & Beauty,1,69.99,41.0,$41.29,41.29,7.000000000000001,$2.89,$44.18,3043,Crossroads Express,Atlanta,Georgia,South,Express,4059,Jacob Foster,Store Manager,5014,No Promo,IN STORE,Buy Now Pay Later,Overnight,processing,FALSE,37.87,3.42,Manual,2024-07-29 00:00:00,2024-08-01 00:00:00
TXN-10006663-17897,10006663,1,2020-04-30,2020,4,April,Q2,Thursday,04-05-2020,05/12/2020,1327,Mr. Amy Perez,Amy,Perez,amy.perez139@mail.com,884.401.6254,Raleigh,North Carolina,74847,South,Silver,female,56,51-65,2026,Cutting Board Set Bamboo,SKU-2026-1154,NaturalChef,kitchen,Utensils,Home & Garden,4,29.99,10.0,26.99,$107.96,10.0,10.80,118.76,3002,Downtown Hub Flagship,Jacksonville,FL,South,Outlet,4033,Kevin Castillo,Sales Consultant,5005,Flash Sale,in-store,apple pay,In-Store Pickup,CANCELLED,Y,58.36,49.60,pos,2020-04-30 00:00:00,2020-05-04 00:00:00
TXN-10000749-2026,10000749,1,"May 07, 2024",2024,5,May,Q2,Tuesday,"May 21, 2024","May 24, 2024",1306,Ms. Mark Allen,Mark,Allen,,849-234-4896,Nashville,TN,55075,South,Silver,Male,39,36-50,2070,Science Kit Chemistry,SKU-2070-2054,LearnLab,Toys,Educational,Toys & Games,4,34.99,40.0,20.99,83.96,8.0,6.72,90.68,3047,Lakefront Pop-Up,Philadelphia,PA,Northeast,Standard,4007,Michelle Ward,Store Manager,5013,Holiday Special,mobile,Credit Card,Overnight Shipping,cancelled,FALSE,72.92,$11.04,Manual,2024-05-07 00:00:00,
TXN-10002985-7955,10002985,4,11/17/2021,2021,11,November,Q4,Wednesday,11/30/2021,"December 01, 2021",1294,Deborah Reed,Deborah,Reed,,5729389332,Denver,CO,86957,West,Silver,Female,33,26-35,2043,Moisturizing Face Cream SPF30,SKU-2043-8727,GlowSkin,Beauty,Skincare,Health & Beauty,3,$29.99,30.0,$20.99,62.97,9.0,5.67,$68.64,3026,North Gate Standard,Albuquerque,New Mexico,West,Flagship,4029,Laura Smith,Store Manager,5021,No Promo,IN STORE,PAYPAL,Overnight Shipping,Processing,No,49.29,$13.68,POS,2021-11-17 00:00:00,2021-11-17 00:00:00
TXN-10003954-10519,10003954,2,2024/11/27,2024,11,November,Q4,Wednesday,05-12-2024,2024/12/12,1355,Ms. Gary Martin,Gary,  Martin ,gary.martin295@protonmail.com,7549437617,Indianapolis,Indiana,85690,Midwest,Silver,FEMALE,54,51-65,2016,Denim Jeans Slim Fit,SKU-2016-5459,DenimCo,Clothing,Bottoms,Apparel & Sports,3,64.99,31.0,44.84,134.52,7.000000000000001,9.42,143.94,3028,City Center Flagship,Boston,MA,Northeast,Standard,4058,Nicholas Evans,Sales Associate,5029,Winter Clearance,Mobile,apple pay,EXPRESS,processing,0,104.55,29.97,POS,2024-11-27 00:00:00,2024-11-30 00:00:00
TXN-10007581-20325,10007581,2,2022-10-23,2022,10,October,Q4,Sunday,2022/11/04,07-11-2022,1443,Benjamin White,  Benjamin ,WHITE,benjaminwhite48@@@outlook.com,7537697783,Colorado Springs,Colorado,25289,West,Bronze,FEMALE,26,26-35,2045,Hair Dryer Professional,SKU-2045-9252,StylePro,Beauty,Hair Care,Health & Beauty,1,69.99,40.0,41.99,41.99,8.0,$3.36,45.35,3007,Parkway Pop-Up,Philadelphia,PA,NORTHEAST,Pop-Up,4075,Jeffrey Edwards,Regional Manager,5013,Holiday Special,IN STORE,Bank Transfer,Express Shipping,Returned,Yes,37.87,4.12,Manual,2022-10-23 00:00:00,2022-10-27 00:00:00
TXN-10001636-4343,10001636,2,"November 28, 2023",2023,11,November,Q4,Tuesday,01-12-2023,"December 06, 2023",1050,Joseph Davis,Joseph,  Davis ,joseph_davis@protonmail.com,(222) 605-5169,Sacramento,CA,18357,West,Bronze,MALE,45,36-50,2007,Portable Bluetooth Speaker,SKU-2007-6416,SoundPro,Electronics,Audio,Technology,1,$59.99,10.0,53.99,53.99,9.0,4.86,58.85,3034,Parkway Outlet,San Francisco,California,West,Pop-Up,4047,Brian Ruiz,Sales Representative,5005,Flash Sale,ONLINE,Bank Transfer,STANDARD,Cancelled,No,24.14,29.85,POS,2023-11-28 00:00:00,
TXN-10006823-18304,10006823,2,03/01/2023,2023,3,March,Q1,Wednesday,"Mar 06, 2023",2023/03/13,1174,Nicole Castillo,Nicole,Castillo,nicole.castillo@protonmail.com,873.962.8974,Milwaukee,Wisconsin,98487,Midwest,Bronze,Male,56,51-65,2029,Knife Set 15-Piece,SKU-2029-3026,BladeEdge,Kitchen,Cutlery,Home & Garden,1,$149.99,49.0,76.49,76.49,10.0,7.65,84.14,3010,City Center Flagship,Albuquerque,New Mexico,West,Flagship,4073,Jennifer Martin,Sales Representative,5019,No Promo,Phone,Bank Transfer,Same Day Delivery,cancelled,0,81.61,$-5.12,ERP,2023-03-01 00:00:00,2023-03-06 00:00:00
TXN-10002435-6492,10002435,1,"March 06, 2024",2024,3,March,Q1,Wednesday,07/03/2024,"March 15, 2024",1187,Mary Thomas,Mary,Thomas,mary_thomas38@protonmail.com,+14142074212,  Portland ,Oregon,32344,West,Platinum,M,52,51-65,2034,Camping Tent 4-Person,SKU-2034-5579,WildCamp,Sports,  Camping ,Fitness & Outdoors,10,189.99,49.0,96.89,968.90,7.000000000000001,67.82,1036.72,3050,Uptown Express,Philadelphia,PA,Northeast,Flagship,4045,Julie Peterson,Customer Advisor,5008,No Promo,Online,credit card,EXPRESS,SHIPPED,0,973.10,-4.20,ERP,2024-03-06 00:00:00,2024-03-09 00:00:00
TXN-10000749-2025,10000749,2,2024/05/07,2024,5,May,Q2,Tuesday,2024-05-21,"May 24, 2024",1306,Ms. Mark Allen,Mark,Allen,,849-234-4896,Nashville,TN,55075,South,Silver,Male,39,36-50,2031,Yoga Mat Non-Slip,SKU-2031-6532,ZenFit,SPORTS,Exercise,Fitness & Outdoors,1,$39.99,40.0,$23.99,23.99,6.0,$1.44,25.43,3047,Lakefront Pop-Up,Philadelphia,PA,Northeast,Standard,4007,Michelle Ward,Store Manager,5013,Holiday Special,mobile,Credit Card,Overnight Shipping,cancelled,FALSE,,6.85,pos,2024-05-07 00:00:00,2024-05-09 00:00:00
TXN-10001994-5288,10001994,4,31-05-2021,2021,5,May,Q2,Monday,"Jun 10, 2021",15-06-2021,1043,Ms. George Phillips,George,Phillips,george_phillips957@outlook.com,727.678.9171,Portland,Oregon,41552,West,Bronze,MALE,44,36-50,2034,Camping Tent 4-Person,SKU-2034-5579,WildCamp,Sports,  Camping ,Fitness & Outdoors,10,189.99,49.0,$96.89,$968.90,6.0,58.13,"1,027.03",3047,Lakefront Pop-Up,Philadelphia,PA,Northeast,Standard,4018,Nicholas Ortiz,Store Manager,5019,No Promo,phone,Buy Now Pay Later,Overnight,CANCELLED,N,$973.10,-4.20,crm,2021-05-31 00:00:00,2021-05-31 00:00:00
TXN-10005820-15606,10005820,1,13-02-2022,2022,2,February,Q1,Sunday,02/19/2022,22-02-2022,1032,Donna Anderson,Donna,Anderson,donna_anderson227@hotmail.com,743.722.4176,Los Angeles,California,35856,West,Silver,Female,34,26-35,2014,Women's Winter Jacket,SKU-2014-3549,WarmWear,Clothing,Outerwear,Apparel & Sports,2,129.99,28.999999999999996,92.29,184.58,8.0,$14.77,199.35,3019,City Center Standard,San Antonio,Texas,south,Standard,4019,Matthew Castillo,Senior Sales Associate,5004,No Promo,Web,Debit Card,Overnight,delivered,Yes,95.16,89.42,Web,2022-02-13 00:00:00,2022-02-13 00:00:00
TXN-10005190-13910,10005190,2,2021/07/22,2021,7,July,Q3,Thursday,2021/07/30,07/08/2021,1299,Margaret Clark,Margaret,Clark,margaret_clark741@protonmail.com,+19998757390,San Francisco,CA,23295,West,Gold,M,50,36-50,2045,Hair Dryer Professional,SKU-2045-9252,StylePro,Beauty,Hair Care,Health & Beauty,2,69.99,49.0,$35.69,$71.38,8.0,5.71,77.09,3001,North Gate Express,Baltimore,Maryland,Northeast,Standard,4010,Jason Rogers,Sales Representative,5008,NO PROMO,in-store,Debit Card,In-Store Pickup,cancelled,0,$75.74,-4.36,POS,2021-07-22 00:00:00,2021-07-23 00:00:00
TXN-10007973-21353,10007973,4,23/03/2022,2022,3,March,Q1,Wednesday,"April 06, 2022",2022-04-16,1307,Tyler Rogers,Tyler,Rogers,tyler.rogers@yahoo.com,313-323-5844,El Paso,Texas,20874,South,Gold,FEMALE,30,26-35,2044,Electric Toothbrush Rechargeable,SKU-2044-5710,SmileBright,health,Oral Care,Health & Beauty,1,49.99,28.000000000000004,$35.99,35.99,9.0,3.24,39.23,3039,Lakefront Pop-Up,Baltimore,MD,  Northeast ,Outlet,4024,John Hernandez,Account Executive,5001,  No Promo ,In-Store,Google Pay,In-Store Pickup,DELIVERED,Yes,$22.84,$13.15,Manual,2022-03-23 00:00:00,2022-03-26 00:00:00
TXN-10000590-1581,10000590,1,2023-06-03,2023,6,June,Q2,Saturday,"June 15, 2023",22/06/2023,1450,Carol Wright,Carol,Wright,carolwright246@yahoo.com,589-469-4614,San Jose,CA,46927,West,Gold,FEMALE,63,51-65,2013,Men's Casual Polo Shirt,SKU-2013-3568,UrbanStyle,Clothing,Tops,Apparel & Sports,4,34.99,39.0,21.34,$85.36,5.0,4.27,89.63,3046,Riverside Standard,Phoenix,AZ,West,Pop-Up,4032,Dennis Bailey,Store Manager,5017,Bundle Deal,online,credit card,Same Day Delivery,pending,N,,29.60,erp,2023-06-03 00:00:00,
TXN-10004215-11216,10004215,2,09/03/2022,2022,3,March,Q1,Wednesday,03/10/2022,13-03-2022,1145,Julie Watson,JULIE,Watson,juliewatson827@hotmail.com,735-661-7750,LAS VEGAS,Nevada,90222,West,Bronze,Female,43,36-50,2053,Desk Organizer Bamboo,SKU-2053-5558,OfficePro,Office,ACCESSORIES,Books & Office,1,24.99,39.0,15.24,15.24,8.0,1.22,16.46,3029,Eastside Plaza Flagship,Los Angeles,CA,WEST,Express,4023,Cynthia Smith,Sales Consultant,5017,Bundle Deal,IN STORE,Google Pay,Same Day,shipped,TRUE,10.20,5.04,erp,2022-03-09 00:00:00,2022-03-14 00:00:00
TXN-10004634-12386,10004634,2,17/02/2023,2023,2,February,Q1,Friday,03/03/2023,06-03-2023,1201,Jennifer Turner,Jennifer,  Turner ,jennifer.turner@protonmail.com,(485) 865-7045,San Antonio,Texas,88494,South,Gold,NB,23,18-25,2054,Stapler Heavy Duty,SKU-2054-5278,BindRight,office,Accessories,Books & Office,1,$19.99,23.0,15.39,15.39,9.0,1.39,16.78,3046,Riverside Standard,Phoenix,AZ,West,Pop-Up,4036,Steven Brown,Sales Representative,5006,  No Promo ,in-store,CREDIT CARD,Pickup,shipped,FALSE,8.54,6.85,erp,2023-02-17 00:00:00,2023-02-17 00:00:00
TXN-10000544-1453,10000544,4,07/11/2020,2020,11,November,Q4,Saturday,16/11/2020,"November 26, 2020",9805,Scott Ruiz,    Scott ,Ruiz,  scott.ruiz@aol.com,407.473.1399,  Seattle,  WA,10255,West,Bronze,Male,58,51-65,2058,Desk Lamp LED Adjustable,SKU-2058-2037,LumLight,Office,Lighting,Books & Office,1,44.99,23.0,$34.64,34.64,10.0,3.46,$38.10,3009,Midtown Outlet,Charlotte,NC,  South ,Pop-Up,4033,Kevin Castillo,Sales Consultant,5002,  Winter Clearance ,phone,bank transfer,Pickup,processing,TRUE,$23.50,11.14,CRM,2020-11-07 00:00:00,
TXN-10006631-17805,10006631,2,2020-08-09,2020,8,August,Q3,Sunday,08/21/2020,2020-08-22,1473,Dr. Ashley Parker,Ashley,Parker,ashley.parker662@yahoo.com,,Albuquerque,New Mexico,39419,West,Platinum,non-binary,37,36-50,2023,Air Fryer 5.8 Quart,SKU-2023-1048,AirCook,  Kitchen ,Appliances,Home & Garden,5,$99.99,30.0,69.99,349.95,6.0,$21.00,370.95,3039,Lakefront Pop-Up,Baltimore,MD,  Northeast ,Outlet,4035,Ronald Cox,Sales Consultant,5021,No Promo,APP,Gift Card,Express,PROCESSING,0,,$135.80,Manual,2020-08-09 00:00:00,2020-08-13 00:00:00
TXN-10006755-18127,10006755,3,"Apr 27, 2022",2022,4,April,Q2,Wednesday,05/07/2022,"May 16, 2022",1348,Jason Chavez,Jason,  Chavez ,jason_chavez476@aol.com,+15156819379,  Austin ,TX,99415,South,Bronze,Female,38,36-50,2003,Laptop 15.6 inch Core i7,SKU-2003-8028,TechBook,Electronics,Computers,Technology,4,1249.99,31.0,862.49,3449.96,7.000000000000001,$241.50,"3,691.46",3031,Midtown Standard,Tucson,Arizona,West,Flagship,4061,Kathleen Cruz,Sales Manager,5029,Winter Clearance,Phone,debit card,Same Day,cancelled,Yes,"$2,582.80",867.16,ERP,2022-04-27 00:00:00,2022-05-02 00:00:00
TXN-10003682-9768,10003682,4,2021/05/12,2021,5,May,Q2,Wednesday,14/05/2021,2021/05/17,1017,Prof. Paul Flores,Paul,Flores,,(746) 329-5494,Charlotte,NC,26551,South,Platinum,Female,30,26-35,2034,Camping Tent 4-Person,SKU-2034-5579,WildCamp,Sports,  Camping ,Fitness & Outdoors,1,189.99,36.0,121.59,121.59,10.0,12.16,133.75,3043,Crossroads Express,Atlanta,Georgia,South,Express,4034,Patrick Watson,Regional Manager,5018,LOYALTY REWARD,catalog,debit card,Same Day,SHIPPED,0,97.31,24.28,POS,2021-05-12 00:00:00,2021-05-14 00:00:00
TXN-10004672-12491,10004672,2,12/06/2022,2022,6,June,Q2,Sunday,"June 12, 2022",14/06/2022,1091,Dr. Michael Cook,Michael,Cook,michael_cook@yahoo.com,8525119328,Omaha,Nebraska,17113,Midwest,Gold,male,29,26-35,2038,Water Bottle 32oz Insulated,SKU-2038-9318,HydroFlow,Sports,Hydration,Fitness & Outdoors,2,$34.99,47.0,$18.54,$37.08,7.000000000000001,2.60,39.68,3021,Lakefront Pop-Up,Columbus,Ohio,midwest,Flagship,4002,Catherine Jimenez,Store Manager,5016,Loyalty Reward,PHONE,credit card,Free Ship,Processing,FALSE,28.52,8.56,ERP,2022-06-12 00:00:00,2022-06-14 00:00:00
TXN-10006418-17241,10006418,2,2024-08-28,2024,8,August,Q3,Wednesday,2024-09-05,"Sep 11, 2024",1161,Samuel Morales,Samuel,Morales,samuel.morales@hotmail.com,959.797.1440,Omaha,Nebraska,63992,Midwest,Bronze,female,42,36-50,2023,Air Fryer 5.8 Quart,SKU-2023-1048,AirCook,  Kitchen ,Appliances,Home & Garden,3,$99.99,18.0,$81.99,245.97,10.0,24.60,270.57,3025,Downtown Hub Pop-Up,Colorado Springs,CO,West,Outlet,4003,Janet Torres,Regional Manager,5020,No Promo,Phone,Cash,Overnight,pending,TRUE,128.49,117.48,ERP,2024-08-28 00:00:00,2024-09-01 00:00:00
TXN-10002287-6073,10002287,2,15/12/2024,2024,12,December,Q4,Sunday,12/21/2024,"Dec 29, 2024",1341,Deborah Collins,Deborah,Collins,deborahcollins770@mail.com,816.459.3255,Atlanta,GA,99173,South,Silver,Female,58,51-65,2050,Digital Bathroom Scale,SKU-2050-7743,HealthTrack,Health,Wellness,Health & Beauty,1,39.99,47.0,21.19,$21.19,7.000000000000001,1.48,22.67,3021,Lakefront Pop-Up,Columbus,Ohio,midwest,Flagship,4083,Steven Nelson,Customer Advisor,5016,  Loyalty Reward ,Mobile,BNPL,Same Day Delivery,PROCESSING,TRUE,21.22,-0.03,ERP,2024-12-15 00:00:00,2024-12-16 00:00:00
